Store Name,Product Category,Proudct SubCategory,Product URL,Product Title,Product Brand,Product Price
samsclub,Appliances,,https://www.samsclub.com/p/nxr-48-in-dual-fuel-range-convection-oven/prod25172731,NXR 48 In. Professional Style Dual Fuel Range with Convection Oven,NXR,4995
samsclub,Appliances,,https://www.samsclub.com/p/nxr-36-inch-professional-style-propane-range-convection/prod25172730,"NXR Stainless Steel 36"" Professional Style Range w/ Convection Oven",NXR,3175
samsclub,Appliances,,https://www.samsclub.com/p/samsung-6-3-cu-ft-electric-range-slide-in/prod24810319,Samsung 6.3 Cu. Ft. Slide-in Electric Range (Choose Color),Samsung,1125
samsclub,Appliances,,https://www.samsclub.com/p/lg-top-load-washer-mega-capacity/P03010174,LG 5.5 Cu. Ft. Mega Capacity Top Load Washer ,LG,845
samsclub,Appliances,,https://www.samsclub.com/p/samsung-5-cu-ft-extra-large-capacity-smart-top-load-washer/P03016042,Samsung 5.5 Cu. Ft. Extra-Large Capacity Smart Top Load Washer w/ Super Speed Wash,Samsung,745
samsclub,Appliances,,https://www.samsclub.com/p/samsung-smart-dryer/prod26060309,Samsung 7.4 Cu. Ft. Smart Dryer w/ Steam Sanitize+,Samsung,745
samsclub,Appliances,,https://www.samsclub.com/p/samsung-5-cu-ft-top-load-washer-active-waterjet-wa50r5200w/prod22990131,Samsung 5.0 Cu. Ft. Top Load Washer w/ Active WaterJet,Samsung,805
samsclub,Appliances,,https://www.samsclub.com/p/lg-5-5-cu-ft-top-load-washer-smart-wifi-turbowash/prod24374019,LG 5.5 Cu.Ft. Smart Wi-Fi-Enabled Top Load Washer w/ TurboWash3D Technology,LG,945
samsclub,Appliances,,https://www.samsclub.com/p/lg-5-5-cu-ft-mega-capacity-top-load-washer-smart-wifi/P03009092,LG 5.5 Cu.Ft. Mega Capacity Smart Wi-Fi-Enabled Top Load Washer,LG,795
samsclub,Appliances,,https://www.samsclub.com/p/lg-4-5-cu-ft-front-load-washer/prod24965261,LG 4.5 Cu. Ft. Front Load Washer,LG,695
samsclub,Appliances,,https://www.samsclub.com/p/samsung-4-5-cu-ft-top-load-washer/prod24810340,Samsung 4.5 Cu. Ft. Top Load Washer with Vibration Reduction Technology+,Samsung,765
samsclub,Appliances,,https://www.samsclub.com/p/samsung-top-load-dryer-sensor-dry-white-dve50r5200w-dvg50r5200w/prod22990132,Samsung 7.4 Cu. Ft. Smart Care Dryer with Sensor Dry,Samsung,805
samsclub,Appliances,,https://www.samsclub.com/p/lg-7-3-cu-ft-large-capacity-smart-wifi-electric-dryer/P03009088,LG 7.3 Cu. Ft. Ultra Large Capacity Smart Wi-Fi-Enabled Rear Control Electric Dryer,LG,845
samsclub,Appliances,,https://www.samsclub.com/p/samsung-7-2-cubic-feet-top-load-dryer/prod24810341,Samsung 7.2 Cu. Ft. Front Load Dryer,Samsung,765
samsclub,Appliances,,https://www.samsclub.com/p/samsung-4-cu-ft-large-capacity-front-load-washer/P03007921,Samsung 4.5 Cu. Ft. Large Capacity Smart Front Load Washer w/ Super Speed Wash (Choose Color),Samsung,945
samsclub,Appliances,,https://www.samsclub.com/p/lg-7-3-cu-ft-rear-control-electric-dryer-easyload-door-smart-wifi/P03009121,LG 7.3 Cu. Ft. Ultra Large Capacity Smart Wi-Fi-Enabled Rear Control Electric Dryer,LG,795
samsclub,Appliances,,https://www.samsclub.com/p/samsung-4-top-load-washer-activewave-agitator/prod25401981,Samsung 4 Cu. Ft. Top Load Washer w/ ActiveWave Agitator,Samsung,675
samsclub,Appliances,,https://www.samsclub.com/p/laundry-washer/prod25401980,Samsung 4.4 Cu. Ft. Top Load Washer with ActiveWave Agitator and Soft-Close Lid,Samsung,765
samsclub,Appliances,,https://www.samsclub.com/p/samsung-7-2-cu-ft-dryer-sensor-dry/prod25401983,Samsung 7.2 Cu. Ft. Electric Dryer w/ Sensor Dry,Samsung,675
samsclub,Appliances,,https://www.samsclub.com/p/samsung-7-4-cu-ft-top-load-electric-dryer-with-sensor-dry/prod25760751,Samsung 7.4 Cu. Ft. Electric Dryer w/ 10 Cycles & Sensor Dry,Samsung,599
samsclub,Appliances,,https://www.samsclub.com/p/lg-7-3-cu-ft-dryer-elec-dryer-wifi-enabled/prod24374022,LG 7.3 Cu.Ft. Smart Wi-Fi Enabled Electric Dryer with TurboSteam,LG,945
samsclub,Appliances,,https://www.samsclub.com/p/lg-single-unit-front-load-wash-tower/prod25101107,LG Single Unit Front Load LG WashTower,LG,1795
samsclub,Appliances,,https://www.samsclub.com/p/samsung-7-5-cu-ft-electric-dryer-steam-sanitize/P03008148,Samsung 7.5 Cu. Ft. Smart Electric Dryer with Steam Sanitize+ (Choose Color),Samsung,945
samsclub,Appliances,,https://www.samsclub.com/p/samsung-5-cu-ft-smart-top-load-washer-activewave-agitator-super-speed/P03016039,Samsung 5.1 Cu. Ft. Smart Top Load Washer w/ ActiveWave Agitator & Super Speed Wash (Choose Color),Samsung,895
samsclub,Appliances,,https://www.samsclub.com/p/all-in-one-washer-dryer-combo-merlot-gx4400cv/prod22180122,Galaxy All-in-One Washer & Dryer Combo (Choose Color),Galaxy,820
samsclub,Appliances,,https://www.samsclub.com/p/samsung-5-cu-ft-large-capacity-smart-top-load-washer-super-speed-wash/P03016043,Samsung 5.2 Cu. Ft. Large Capacity Smart Top Load Washer with Super Speed Wash (Choose Color),Samsung,895
samsclub,Appliances,,https://www.samsclub.com/p/samsung-4-cu-ft-front-load-washer-vibration-reduction/prod24720155,Samsung 4.5 Cu. Ft. Front Load E-Star Washer with Vibration Reduction Technology+,Samsung,855
samsclub,Appliances,,https://www.samsclub.com/p/lg-styler-steam-cclothing-are-system-s3rfbn/prod22500712,LG Styler Steam Clothing Care System,LG,1295
samsclub,Appliances,,https://www.samsclub.com/p/galaxy-equator-stackable-compact-laundry-suite/prod23601924,Galaxy Stackable Set Compact Laundry Pair - 1.6 Cu.Ft. Front Load Washer & 3.5 Cu.Ft. Short Dryer,Galaxy,1195
